x,y,z
1.575659,-1.275326,0.789648
1.050440,-1.275326,0.789648
0.525220,-1.275326,0.789648
0.000000,-1.275326,0.789648
0.000000,-1.275326,0.789648
0.000000,-1.290444,0.764692
0.000000,-1.305074,0.739446
0.000000,-1.319211,0.713921
0.000000,-1.332848,0.688126
0.000000,-1.345981,0.662070
0.000000,-1.358604,0.635763
0.000000,-1.370714,0.609216
0.000000,-1.382304,0.582439
0.000000,-1.393372,0.555441
0.000000,-1.403912,0.528233
0.000000,-1.413922,0.500825
0.000000,-1.423396,0.473227
0.000000,-1.432331,0.445451
0.000000,-1.440725,0.417506
0.000000,-1.448574,0.389403
0.000000,-1.455874,0.361152
0.000000,-1.462623,0.332765
0.000000,-1.468819,0.304252
0.000000,-1.474460,0.275624
0.000000,-1.474460,0.275624
0.525220,-1.474460,0.275624
1.050440,-1.474460,0.275624
1.575659,-1.474460,0.275624
2.100879,-1.474460,0.275624
2.626099,-1.474460,0.275624
3.151319,-1.474460,0.275624
3.676539,-1.474460,0.275624
4.201759,-1.474460,0.275624
4.726978,-1.474460,0.275624
5.252198,-1.474460,0.275624
5.777418,-1.474460,0.275624
6.302638,-1.474460,0.275624
6.827858,-1.474460,0.275624
7.353078,-1.474460,0.275624
7.878297,-1.474460,0.275624
8.403517,-1.474460,0.275624
8.928737,-1.474460,0.275624
9.453957,-1.474460,0.275624
9.979177,-1.474460,0.275624
9.979177,-1.474460,0.275624
9.979177,-1.479542,0.246892
9.979177,-1.484064,0.218066
9.979177,-1.488025,0.189158
9.979177,-1.491423,0.160178
9.979177,-1.494257,0.131137
9.979177,-1.496525,0.102047
9.979177,-1.498227,0.072918
9.979177,-1.499361,0.043762
9.979177,-1.499929,0.014589
9.979177,-1.499929,-0.014589
9.979177,-1.499361,-0.043762
9.979177,-1.498227,-0.072918
9.979177,-1.496525,-0.102047
9.979177,-1.494257,-0.131137
9.979177,-1.491423,-0.160178
9.979177,-1.488025,-0.189158
9.979177,-1.484064,-0.218066
9.979177,-1.479542,-0.246892
9.979177,-1.474460,-0.275624
9.979177,-1.474460,-0.275624
9.453957,-1.474460,-0.275624
8.928737,-1.474460,-0.275624
8.403517,-1.474460,-0.275624
7.878297,-1.474460,-0.275624
7.353078,-1.474460,-0.275624
6.827858,-1.474460,-0.275624
6.302638,-1.474460,-0.275624
5.777418,-1.474460,-0.275624
5.252198,-1.474460,-0.275624
4.726978,-1.474460,-0.275624
4.201759,-1.474460,-0.275624
3.676539,-1.474460,-0.275624
3.151319,-1.474460,-0.275624
2.626099,-1.474460,-0.275624
2.100879,-1.474460,-0.275624
1.575659,-1.474460,-0.275624
1.050440,-1.474460,-0.275624
0.525220,-1.474460,-0.275624
0.000000,-1.474460,-0.275624
0.000000,-1.474460,-0.275624
0.000000,-1.468819,-0.304252
0.000000,-1.462623,-0.332765
0.000000,-1.455874,-0.361152
0.000000,-1.448574,-0.389403
0.000000,-1.440725,-0.417506
0.000000,-1.432331,-0.445451
0.000000,-1.423396,-0.473227
0.000000,-1.413922,-0.500825
0.000000,-1.403912,-0.528233
0.000000,-1.393372,-0.555441
0.000000,-1.382304,-0.582439
0.000000,-1.370714,-0.609216
0.000000,-1.358604,-0.635763
0.000000,-1.345981,-0.662070
0.000000,-1.332848,-0.688126
0.000000,-1.319211,-0.713921
0.000000,-1.305074,-0.739446
0.000000,-1.290444,-0.764692
0.000000,-1.275326,-0.789648
0.000000,-1.275326,-0.789648
0.525220,-1.275326,-0.789648
